user_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
153,3.75,3.0,2.0,4.25,4.75
154,3.75,3.5,4.75,4.0,3.75
155,4.25,4.0,4.0,4.0,2.25
156,5.0,4.25,3.25,5.0,3.75
157,5.0,3.5,3.75,4.5,4.25
158,2.75,3.5,2.25,3.5,3.75
159,2.5,3.5,3.75,4.25,4.5
160,3.5,3.25,3.0,4.25,4.5
161,4.25,4.0,1.5,2.25,4.5
162,4.0,4.0,1.5,4.75,3.5
163,3.5,3.25,3.5,3.75,4.25
164,4.5,4.5,3.5,4.25,2.0
165,4.0,3.25,1.75,4.0,3.5
166,4.0,3.75,3.75,4.75,3.0
167,4.0,4.25,4.5,5.0,2.25
168,3.25,3.5,2.75,3.5,3.25
169,4.0,2.5,2.25,3.25,4.0
170,4.5,4.0,3.75,4.25,4.5
171,3.25,3.25,2.75,5.0,4.0
172,3.75,4.0,2.75,4.25,2.5
173,2.75,3.0,4.5,3.0,3.75
174,3.25,3.75,2.75,4.0,3.25
175,4.25,4.0,2.5,5.0,3.0
176,5.0,3.75,2.25,4.5,2.5
177,4.25,4.5,4.0,4.75,3.5
177,4.25,4.5,4.25,4.75,3.5
178,4.5,4.25,3.25,4.0,3.5
179,3.75,4.0,2.75,4.0,2.25
180,4.75,3.75,3.5,4.0,3.25
181,3.75,4.0,3.0,4.0,2.0
182,4.25,3.75,3.0,4.75,3.5
183,3.0,3.75,3.5,4.75,2.0
184,4.25,3.0,1.25,4.0,3.75
185,3.75,4.0,3.25,4.75,2.75
186,5.0,4.0,4.0,5.0,4.0
187,4.5,3.5,2.25,4.0,3.5
188,2.75,4.5,3.5,4.25,3.0
189,3.0,4.0,3.25,4.25,3.0
190,5.0,4.25,3.5,4.75,3.75
191,5.0,5.0,4.25,5.0,2.5
192,4.0,4.5,3.0,4.75,1.75
193,4.5,3.5,4.25,4.0,3.5
194,4.0,2.75,2.5,4.0,2.75
195,3.0,3.75,2.0,5.0,3.0
196,3.0,3.0,2.75,4.5,2.25
197,4.0,4.5,4.0,4.5,3.75
198,5.0,5.0,5.0,5.0,1.0
199,4.75,3.75,3.25,4.5,4.0
200,3.75,3.75,3.0,4.5,3.75
201,4.0,3.5,2.5,5.0,3.5
202,3.75,3.0,3.75,4.75,4.25
203,2.0,4.0,3.25,4.25,4.25
204,3.0,4.0,1.25,4.5,4.75
205,4.75,4.0,3.75,4.75,4.0
206,4.25,4.0,4.0,3.75,3.0
207,3.75,3.75,1.75,4.25,4.5
207,3.75,3.75,1.75,4.25,4.5
208,4.25,4.25,5.0,5.0,3.5
209,5.0,4.25,5.0,5.0,2.0
210,4.75,4.25,3.5,4.75,3.0
211,3.0,3.5,1.0,4.25,2.75
212,3.25,3.5,1.0,5.0,5.0
77,3.5,3.75,2.5,3.75,3.5
213,3.25,3.75,3.0,4.25,2.25
214,4.0,3.75,2.75,4.0,2.75
215,4.0,3.25,4.25,5.0,2.25
216,3.5,3.75,3.0,4.0,3.0
217,3.25,4.25,3.75,3.75,3.5
218,3.75,3.75,4.0,4.25,3.25
218,3.75,3.75,4.0,4.25,3.25
219,3.25,3.25,3.25,3.75,4.0
220,3.5,3.75,4.25,4.5,1.75
221,4.0,4.0,4.75,4.5,3.5
222,4.5,3.25,2.5,4.0,2.5
151,3.5,4.0,2.0,4.0,4.0
223,3.75,4.25,3.75,4.25,3.5
224,3.5,4.5,3.5,4.75,2.5
225,3.5,3.75,2.25,4.0,3.0
226,4.5,3.5,3.25,4.0,3.25
227,2.5,4.0,3.75,4.5,2.0
228,3.5,4.75,3.0,4.75,3.25
229,3.75,4.0,3.5,4.0,2.75
230,4.0,3.25,3.25,4.75,3.5
231,3.75,4.0,3.75,3.75,2.5
232,4.75,3.75,1.25,5.0,3.0
233,4.25,2.25,2.25,3.25,3.5
234,3.75,3.25,3.75,3.75,2.75
235,3.25,3.0,2.0,4.0,3.5
236,3.75,3.75,3.5,4.0,4.25
237,4.75,4.0,3.0,3.25,3.5
238,2.0,3.0,2.75,4.75,1.5
239,4.25,4.0,4.75,4.5,2.5
240,4.5,2.25,1.5,4.0,4.75
241,4.0,5.0,4.25,3.75,1.0
242,4.0,4.25,2.25,4.25,3.75
243,5.0,4.0,4.5,4.5,2.75
244,3.75,4.25,4.25,4.25,3.0
244,3.75,4.25,4.25,4.25,3.0
245,3.5,5.0,3.0,4.5,4.0
246,5.0,3.25,2.75,4.25,4.25
247,3.25,4.5,4.0,5.0,2.75
248,3.5,4.25,1.75,4.75,2.75
249,4.25,4.25,1.25,4.25,1.75
250,4.5,3.0,4.75,4.25,4.0
251,3.75,3.5,4.0,4.0,3.0
252,3.5,3.5,2.5,4.0,3.75
253,4.0,2.25,2.75,3.75,3.75
254,3.5,3.25,3.5,4.0,4.0
255,3.25,3.75,3.5,4.0,3.25
256,3.25,3.25,2.5,4.0,2.25
257,2.5,3.75,4.0,4.25,2.5
251,4.0,3.75,3.75,4.0,3.0
258,4.25,3.75,3.75,5.0,2.75
259,4.5,4.25,2.5,4.75,3.0
260,3.75,4.25,4.5,4.0,3.25
261,3.75,3.75,3.25,4.25,2.5
262,5.0,4.25,4.25,5.0,4.0
263,4.25,4.0,2.75,4.25,3.0
264,3.75,4.5,3.25,4.25,2.75
265,4.0,3.5,3.25,4.0,4.0
266,4.5,3.75,2.25,4.25,4.25
267,3.0,3.75,2.75,4.5,2.0
268,5.0,4.5,3.25,4.5,4.25
269,3.5,3.25,4.5,4.25,2.0
270,4.25,3.25,1.5,4.0,4.75
271,4.0,4.0,2.5,4.0,2.5
272,4.0,4.5,3.75,4.25,1.0
273,3.25,3.75,1.25,4.0,3.0
274,3.0,4.75,1.75,3.75,4.5
275,4.75,5.0,4.5,4.75,2.25
276,4.0,3.75,4.25,3.75,3.5
277,4.0,3.5,3.5,3.75,2.75
278,3.0,4.25,4.25,4.75,2.25
279,5.0,4.25,3.25,5.0,1.5
280,4.0,3.25,2.75,4.0,4.5
281,3.75,4.25,4.5,5.0,1.75
282,4.75,4.0,3.25,4.75,3.5
283,3.25,3.75,3.75,4.0,1.75
282,4.5,4.0,2.75,4.75,3.5
284,4.25,3.0,1.25,4.0,3.75
285,3.25,3.5,3.25,4.0,2.75
286,3.5,3.25,1.5,4.75,4.75
287,4.0,2.75,2.0,3.75,3.0
288,3.5,3.75,3.0,3.75,3.75
289,3.0,4.0,2.75,4.25,3.75
290,4.0,4.0,3.0,4.0,1.5
291,3.25,3.75,2.75,4.75,3.0
292,5.0,4.75,5.0,4.75,2.0
293,3.75,4.0,3.75,4.0,3.5
294,3.5,4.0,4.0,4.0,1.75
295,4.25,3.5,4.5,4.75,3.5
296,3.25,3.75,2.0,5.0,4.75
297,4.5,4.25,5.0,5.0,1.25
298,3.75,3.25,5.0,4.5,3.75
299,3.75,3.5,1.75,3.5,4.5
300,4.25,4.25,3.5,4.25,2.0
301,2.75,3.0,2.0,4.75,5.0
302,4.5,4.25,5.0,5.0,1.5
303,4.0,3.75,3.5,4.25,2.0
304,4.0,4.0,3.25,4.0,3.25
305,4.25,4.0,4.0,4.25,3.0
306,3.0,3.75,3.0,3.5,3.0
307,4.0,4.25,1.5,4.25,4.5
308,3.25,3.75,2.5,5.0,3.0
309,3.75,3.5,2.75,3.75,2.75
310,4.25,4.25,3.75,5.0,2.0
311,4.5,3.5,4.5,4.5,4.5
312,4.5,4.0,4.25,4.25,2.75
313,3.0,3.0,3.0,5.0,4.5
314,4.5,2.5,3.0,4.25,4.75
315,4.5,4.0,2.25,4.75,4.25
234,4.75,5.0,4.75,5.0,1.75
316,4.0,3.5,4.0,4.25,2.75
317,4.5,3.75,2.75,4.0,3.5
318,4.5,3.75,4.5,4.25,2.0
319,4.5,4.25,1.25,4.75,2.25
320,4.5,4.75,2.25,5.0,2.0
321,5.0,5.0,4.5,4.5,4.25
322,4.0,4.0,4.75,4.75,3.5
323,4.25,3.5,1.75,4.25,4.5
324,4.25,4.25,3.25,4.25,3.0
325,5.0,3.5,3.75,4.25,4.25
326,4.0,3.5,2.25,4.0,2.75
327,3.5,3.0,2.5,4.5,4.5
328,3.75,4.25,4.75,4.75,3.25
328,3.75,4.25,4.75,4.75,3.25
329,4.75,3.75,3.5,4.75,3.25
330,4.0,3.25,1.0,4.0,4.75
331,3.0,3.75,4.25,5.0,3.0
332,4.0,3.75,3.5,4.0,3.25
333,4.0,3.75,4.0,4.0,2.0
334,4.0,3.75,2.0,4.25,2.75
335,2.75,4.0,3.75,4.0,2.25
336,5.0,3.0,2.25,3.0,2.75
337,3.0,4.25,3.25,4.75,2.0
338,4.5,3.75,2.75,4.75,3.0
339,4.5,3.25,3.25,4.0,3.0
340,3.5,3.5,4.0,4.0,2.25
341,3.5,4.0,4.25,4.5,4.0
342,3.25,3.25,2.75,4.25,3.25
343,3.25,3.25,4.0,3.75,3.25
344,4.25,4.5,4.75,4.75,1.25
345,3.75,4.0,3.5,4.75,3.75
31,4.75,4.25,3.5,4.75,3.0
346,4.5,3.75,4.5,5.0,3.5
347,4.0,3.75,3.0,3.75,3.75
348,4.0,3.75,3.75,4.0,2.75
349,3.5,4.25,3.25,5.0,3.5
350,4.0,3.5,3.0,4.0,4.0
351,4.5,4.25,2.25,5.0,4.25
352,4.0,3.5,2.5,3.75,3.5
353,3.75,5.0,4.25,5.0,1.5
354,3.25,3.75,3.5,4.75,3.0
355,4.5,3.75,3.25,4.75,3.25
356,4.0,3.25,3.75,5.0,4.25
357,5.0,3.25,2.25,4.75,2.0
188,3.75,3.75,3.0,4.75,2.75
358,4.0,4.25,4.5,4.75,3.0
359,3.25,3.5,3.25,4.0,2.25
360,3.0,3.75,3.25,4.0,3.0
361,4.0,4.5,4.5,4.5,3.25
362,3.25,3.25,2.75,3.75,4.0
363,4.25,3.0,2.5,3.75,4.5
364,5.0,2.75,3.25,5.0,5.0
365,5.0,4.0,4.0,5.0,4.0
366,4.0,4.0,3.75,4.25,4.0
367,3.25,3.25,1.75,4.0,3.75
368,4.25,4.5,2.0,3.75,1.75
369,4.5,3.75,3.75,4.5,3.0
370,2.25,4.0,3.25,3.75,2.75
371,4.75,4.5,3.75,5.0,2.5
372,4.75,4.0,4.5,4.75,3.25
373,3.0,3.75,3.0,4.0,3.0
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
374,3.75,3.0,1.75,3.0,2.5
375,4.0,2.75,1.25,4.0,4.5
376,3.75,3.5,2.5,4.0,4.5
377,4.0,4.0,3.5,4.5,2.5
378,4.25,4.25,3.5,4.75,3.75
379,4.75,3.5,2.5,4.5,2.0
380,5.0,3.0,2.0,4.0,4.0
381,4.25,4.0,3.5,4.0,3.25
382,4.0,3.5,1.75,3.5,2.5
383,4.5,3.75,4.0,4.25,3.5
